m,horizon,n_runs,d1,d2,lambda_E,lambda_ent,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
500,6,2,10,1000,1,0.2,0.48483333,0.01107801,0.48483333,0.01107801,0.48483333,0.01107801,0.00000000,0.00000000
500,6,2,10,1000,1,0.8,0.01083333,0.00070711,0.01083333,0.00070711,0.01083333,0.00070711,0.00000000,0.00000000
500,6,2,10,1000,5,0.2,0.51566667,0.00094281,0.51566667,0.00094281,0.51550000,0.00117851,0.00016667,0.00023570
500,6,2,10,1000,5,0.8,0.04050000,0.00259272,0.04050000,0.00259272,0.04033333,0.00282843,0.00016667,0.00023570
