policy,time,H_mean,H_std,E_mean,E_std,total_mean,total_std
greedy,20.75,414.300000,16.152399,13.300000,4.270051,427.600000,15.370968
greedy,21.00,428.100000,19.969143,15.000000,2.943920,443.100000,20.674461
greedy,21.25,420.200000,16.678662,14.300000,4.571652,434.500000,19.397881
greedy,21.50,418.300000,20.369094,14.200000,3.190263,432.500000,22.287266
greedy,21.75,426.200000,18.593906,13.100000,4.306326,439.300000,20.450754
greedy,22.00,420.700000,17.397637,12.600000,3.717825,433.300000,18.221172
greedy,22.25,413.000000,23.213980,15.200000,3.881580,428.200000,23.384705
greedy,22.50,406.000000,17.224014,16.800000,3.155243,422.800000,16.651994
greedy,22.75,403.800000,14.296853,15.900000,5.466057,419.700000,12.771931
greedy,23.00,405.200000,23.649289,15.600000,4.033196,420.800000,24.805017
greedy,23.25,405.300000,21.338801,13.900000,1.911951,419.200000,22.190088
greedy,23.50,409.700000,18.909433,13.500000,3.894440,423.200000,20.519909
greedy,23.75,416.100000,20.129856,14.800000,1.932184,430.900000,20.118814
greedy,24.00,410.100000,12.493999,16.600000,3.062316,426.700000,12.780628
greedy,24.25,398.900000,20.195984,15.800000,3.489667,414.700000,20.559129
greedy,24.50,393.200000,23.658684,15.400000,3.098387,408.600000,21.940323
greedy,24.75,399.900000,20.760272,14.900000,3.956710,414.800000,21.852028
greedy,25.00,397.500000,20.321035,14.100000,3.414023,411.600000,21.726584
greedy,25.25,407.100000,28.949957,12.900000,2.846050,420.000000,29.242283
greedy,25.50,403.500000,21.355457,14.900000,2.078995,418.400000,21.711236
greedy,25.75,412.300000,21.370021,14.100000,2.078995,426.400000,20.249554
greedy,26.00,415.200000,22.448954,15.200000,2.936362,430.400000,21.308319
greedy,26.25,413.600000,31.826614,12.300000,2.790858,425.900000,31.142861
greedy,26.50,406.700000,23.837645,14.600000,4.247875,421.300000,26.487104
greedy,26.75,399.300000,16.859221,15.100000,2.024846,414.400000,16.886550
greedy,27.00,404.000000,22.050447,15.100000,4.532598,419.100000,20.322128
greedy,27.25,411.600000,21.360399,15.200000,4.157991,426.800000,19.537997
greedy,27.50,411.800000,32.234557,13.500000,4.352522,425.300000,34.554466
greedy,27.75,406.600000,23.707477,16.000000,3.265986,422.600000,21.894697
greedy,28.00,397.600000,13.175735,17.400000,3.306559,415.000000,13.515423
greedy,28.25,395.300000,21.592437,16.200000,3.823901,411.500000,22.897113
greedy,28.50,405.300000,16.138635,14.900000,2.643651,420.200000,16.205623
greedy,28.75,398.200000,17.586611,14.500000,1.957890,412.700000,17.179122
greedy,29.00,393.400000,16.412732,14.800000,3.293090,408.200000,17.881089
greedy,29.25,388.000000,20.248457,15.000000,4.294700,403.000000,21.468323
greedy,29.50,401.100000,24.758612,16.200000,3.614784,417.300000,24.290144
greedy,29.75,412.600000,24.350222,14.700000,2.945807,427.300000,22.949461
greedy,30.00,426.700000,13.391954,16.900000,3.573047,443.600000,11.786998
greedy,30.25,416.300000,17.651251,14.800000,2.859681,431.100000,17.483008
greedy,30.50,416.100000,19.592799,13.100000,2.643651,429.200000,21.306233
greedy,30.75,417.200000,20.762145,14.900000,3.956710,432.100000,21.717632
greedy,31.00,413.500000,19.973594,13.800000,3.155243,427.300000,19.697998
greedy,31.25,409.700000,16.740171,14.500000,2.915476,424.200000,16.956153
greedy,31.50,391.800000,22.523075,17.000000,3.741657,408.800000,23.455869
greedy,31.75,406.300000,30.897860,17.100000,4.458450,423.400000,31.924216
greedy,32.00,409.100000,32.715779,16.100000,4.794673,425.200000,31.456496
greedy,32.25,408.500000,25.708840,15.700000,4.295993,424.200000,24.178962
greedy,32.50,420.500000,25.522321,14.700000,3.560587,435.200000,27.369082
greedy,32.75,418.300000,27.801079,13.000000,2.211083,431.300000,27.455216
