m,horizon,n_runs,lambda_E,lambda_ent,d1,d2,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
500,6,2,5,0.5,2,100,0.37183333,0.01956329,0.37183333,0.01956329,0.31950000,0.01343503,0.05233333,0.00612826
500,6,2,5,0.5,2,1000,0.33166667,0.00518545,0.33166667,0.00518545,0.33166667,0.00518545,0.00000000,0.00000000
500,6,2,5,0.5,10,100,0.17433333,0.00047140,0.17433333,0.00047140,0.16116667,0.00259272,0.01316667,0.00306413
500,6,2,5,0.5,10,1000,0.17583333,0.01202082,0.17583333,0.01202082,0.17583333,0.01202082,0.00000000,0.00000000
