m,d1,d2,T,n_runs,lambda_E,lambda_ent,policy,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
2000,10,1000,20,2,1,0.1,priority_credits,0.77365000,0.00123744,0.77365000,0.00123744,0.77365000,0.00123744,0.00000000,0.00000000
2000,10,1000,20,2,1,0.1,soft_commitment,0.78258750,0.00061872,0.78258750,0.00061872,0.78258750,0.00061872,0.00000000,0.00000000
2000,10,1000,20,2,1,0.1,risk_adjusted,0.85565000,0.00321734,0.85565000,0.00321734,0.85565000,0.00321734,0.00000000,0.00000000
2000,10,1000,20,2,1,0.1,preserve_quality,0.76128750,0.00263397,0.76128750,0.00263397,0.76128750,0.00263397,0.00000000,0.00000000
2000,10,1000,20,2,1,0.2,priority_credits,0.62456250,0.00493207,0.62456250,0.00493207,0.62456250,0.00493207,0.00000000,0.00000000
2000,10,1000,20,2,1,0.2,soft_commitment,0.62263750,0.00291682,0.62263750,0.00291682,0.62263750,0.00291682,0.00000000,0.00000000
2000,10,1000,20,2,1,0.2,risk_adjusted,0.75836250,0.00542704,0.75836250,0.00542704,0.75836250,0.00542704,0.00000000,0.00000000
2000,10,1000,20,2,1,0.2,preserve_quality,0.56410000,0.00477297,0.56410000,0.00477297,0.56410000,0.00477297,0.00000000,0.00000000
2000,10,1000,20,2,1,0.3,priority_credits,0.48191250,0.00079550,0.48191250,0.00079550,0.48191250,0.00079550,0.00000000,0.00000000
2000,10,1000,20,2,1,0.3,soft_commitment,0.48107500,0.00321734,0.48107500,0.00321734,0.48107500,0.00321734,0.00000000,0.00000000
2000,10,1000,20,2,1,0.3,risk_adjusted,0.66672500,0.00166170,0.66672500,0.00166170,0.66672500,0.00166170,0.00000000,0.00000000
2000,10,1000,20,2,1,0.3,preserve_quality,0.38005000,0.00282843,0.38005000,0.00282843,0.38005000,0.00282843,0.00000000,0.00000000
2000,10,1000,20,2,1,0.4,priority_credits,0.35175000,0.00689429,0.35175000,0.00689429,0.35175000,0.00689429,0.00000000,0.00000000
2000,10,1000,20,2,1,0.4,soft_commitment,0.35042500,0.00123744,0.35042500,0.00123744,0.35042500,0.00123744,0.00000000,0.00000000
