m,d1,d2,T,n_runs,lambda_E,lambda_ent,policy,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
500,4,100,5,2,2,0.1,risk_adjusted,0.73540000,0.01555635,0.73540000,0.01555635,0.72480000,0.01583919,0.01060000,0.00028284
500,4,100,5,2,2,0.1,preserve_quality,0.65800000,0.00339411,0.65800000,0.00339411,0.65500000,0.00311127,0.00300000,0.00028284
500,4,100,5,2,2,0.2,priority_credits,0.55700000,0.00933381,0.55700000,0.00933381,0.55480000,0.00848528,0.00220000,0.00084853
500,4,100,5,2,2,0.2,soft_commitment,0.55260000,0.00650538,0.55260000,0.00650538,0.55020000,0.00537401,0.00240000,0.00113137
500,4,100,5,2,2,0.2,risk_adjusted,0.64100000,0.00707107,0.64100000,0.00707107,0.63380000,0.00763675,0.00720000,0.00056569
500,4,100,5,2,2,0.2,preserve_quality,0.53540000,0.01329361,0.53540000,0.01329361,0.52880000,0.01357645,0.00660000,0.00028284
500,4,100,5,2,2,0.3,priority_credits,0.46120000,0.00339411,0.46120000,0.00339411,0.45860000,0.00367696,0.00260000,0.00028284
500,4,100,5,2,2,0.3,soft_commitment,0.46900000,0.00367696,0.46900000,0.00367696,0.46700000,0.00254558,0.00200000,0.00113137
500,4,100,5,2,2,0.3,risk_adjusted,0.54500000,0.01725341,0.54500000,0.01725341,0.54060000,0.01895046,0.00440000,0.00169706
500,4,100,5,2,2,0.3,preserve_quality,0.44120000,0.00339411,0.44120000,0.00339411,0.43720000,0.00282843,0.00400000,0.00056569
500,4,100,5,2,2,0.4,priority_credits,0.38860000,0.00424264,0.38860000,0.00424264,0.38740000,0.00480833,0.00120000,0.00056569
500,4,100,5,2,2,0.4,soft_commitment,0.38320000,0.00622254,0.38320000,0.00622254,0.38180000,0.00593970,0.00140000,0.00028284
500,4,100,5,2,2,0.4,risk_adjusted,0.48520000,0.02319310,0.48520000,0.02319310,0.48280000,0.02319310,0.00240000,0.00000000
500,4,100,5,2,2,0.4,preserve_quality,0.29420000,0.02064752,0.29420000,0.02064752,0.29200000,0.02093036,0.00220000,0.00028284
500,4,100,5,2,2,0.5,priority_credits,0.30840000,0.00905097,0.30840000,0.00905097,0.30800000,0.00905097,0.00040000,0.00000000
500,4,100,5,2,2,0.5,soft_commitment,0.29520000,0.00791960,0.29520000,0.00791960,0.29460000,0.00820244,0.00060000,0.00028284
