policy,time,H_mean,H_std,E_mean,E_std
greedy,0.0000,0.00000000,0.00000000,0.00000000,0.00000000
greedy,0.2500,461.50000000,25.86825596,5.50000000,1.58113883
greedy,0.5000,699.60000000,16.22891795,6.50000000,1.71593836
greedy,0.7500,842.00000000,21.77664396,4.80000000,2.09761770
greedy,1.0000,941.00000000,20.91782865,5.40000000,1.95505044
greedy,1.2500,1000.00000000,17.72004515,4.50000000,1.58113883
greedy,1.5000,1029.20000000,36.52335630,4.20000000,2.25092574
greedy,1.7500,1054.00000000,38.36665219,3.60000000,2.06559112
greedy,2.0000,1063.80000000,44.81021709,4.20000000,1.39841180
greedy,2.2500,1078.00000000,40.21332007,3.40000000,1.57762128
greedy,2.5000,1081.60000000,44.86077227,5.00000000,1.24721913
greedy,2.7500,1066.40000000,32.32542859,3.50000000,1.50923086
greedy,3.0000,1076.10000000,38.34478090,3.70000000,2.16281709
greedy,3.2500,1079.50000000,35.94826530,3.10000000,1.79195734
greedy,3.5000,1079.00000000,41.26068885,4.00000000,2.05480467
greedy,3.7500,1076.30000000,26.82473982,3.70000000,1.63639169
greedy,4.0000,1082.50000000,32.45595306,4.00000000,1.88561808
greedy,4.2500,1080.10000000,34.27162740,4.50000000,1.64991582
greedy,4.5000,1100.90000000,51.00860494,4.20000000,1.31656118
greedy,4.7500,1091.40000000,35.85216559,4.60000000,1.26491106
greedy,5.0000,1097.40000000,30.43097837,3.60000000,1.07496770
greedy,5.2500,1088.60000000,26.74239248,4.30000000,1.82878223
greedy,5.5000,1087.60000000,20.45156881,3.20000000,1.68654809
greedy,5.7500,1081.10000000,36.24438654,5.50000000,2.46080384
greedy,6.0000,1082.40000000,33.81715541,4.20000000,2.04396130
greedy,6.2500,1093.90000000,24.51960667,4.20000000,1.81352940
greedy,6.5000,1105.30000000,39.85822096,4.30000000,1.41813649
greedy,6.7500,1093.20000000,29.90280552,5.30000000,2.21359436
greedy,7.0000,1085.10000000,22.54107362,3.80000000,1.68654809
greedy,7.2500,1085.70000000,37.23513872,5.40000000,2.22111083
greedy,7.5000,1083.30000000,27.56023706,3.60000000,1.42984071
greedy,7.7500,1083.20000000,23.65868410,4.80000000,1.61932771
greedy,8.0000,1083.00000000,37.95611501,4.40000000,1.89736660
greedy,8.2500,1069.90000000,38.82281689,4.80000000,1.39841180
greedy,8.5000,1077.00000000,38.87872883,3.50000000,1.58113883
greedy,8.7500,1060.60000000,33.25056390,5.50000000,2.63523138
greedy,9.0000,1090.40000000,30.92356167,4.70000000,2.05750658
greedy,9.2500,1096.60000000,36.10232372,4.30000000,2.16281709
greedy,9.5000,1096.60000000,37.28329981,3.60000000,1.34989712
greedy,9.7500,1080.70000000,47.16413421,3.40000000,1.26491106
greedy,10.0000,1089.70000000,52.90673135,4.00000000,1.63299316
greedy,10.2500,1095.60000000,39.88093390,3.80000000,1.81352940
greedy,10.5000,1089.00000000,31.57354730,4.50000000,2.27303028
greedy,10.7500,1092.10000000,22.82518103,4.40000000,1.83787317
greedy,11.0000,1078.00000000,31.86080839,4.40000000,2.17050941
greedy,11.2500,1089.60000000,24.48673110,6.70000000,1.76698110
greedy,11.5000,1085.90000000,30.98548047,5.00000000,1.33333333
greedy,11.7500,1085.10000000,38.90858232,3.90000000,1.10050493
greedy,12.0000,1088.10000000,37.09881699,4.20000000,1.54919334
greedy,12.2500,1091.40000000,36.43624569,3.70000000,1.56702124
greedy,12.5000,1089.90000000,37.18258254,4.60000000,1.57762128
greedy,12.7500,1097.30000000,26.01730194,4.10000000,2.02484567
greedy,13.0000,1092.80000000,24.84529913,4.20000000,2.09761770
greedy,13.2500,1089.20000000,26.40622822,4.00000000,0.94280904
greedy,13.5000,1093.30000000,22.18132348,4.10000000,2.02484567
greedy,13.7500,1090.00000000,42.97803056,3.60000000,1.17378779
greedy,14.0000,1097.80000000,51.58121967,3.40000000,1.50554531
greedy,14.2500,1111.70000000,57.76398340,2.50000000,1.26929552
greedy,14.5000,1104.70000000,43.99507548,4.10000000,1.10050493
greedy,14.7500,1102.90000000,34.28459324,3.80000000,2.14993540
greedy,15.0000,1092.30000000,53.59322096,4.10000000,1.85292561
greedy,15.2500,1081.00000000,42.06608557,4.10000000,1.52388393
greedy,15.5000,1081.90000000,34.40429560,4.70000000,1.33749351
greedy,15.7500,1082.00000000,39.64845520,3.60000000,1.50554531
greedy,16.0000,1098.30000000,46.14482034,3.60000000,1.07496770
greedy,16.2500,1093.60000000,26.65082863,4.10000000,1.52388393
greedy,16.5000,1094.70000000,32.79244493,3.60000000,2.27058485
greedy,16.7500,1085.10000000,33.16105480,4.40000000,1.95505044
greedy,17.0000,1082.50000000,43.45176125,4.00000000,1.94365063
greedy,17.2500,1094.40000000,29.53792289,4.00000000,1.63299316
greedy,17.5000,1089.70000000,23.02679598,4.30000000,1.56702124
greedy,17.7500,1090.70000000,12.71962613,4.80000000,1.98885785
greedy,18.0000,1087.10000000,18.74062729,4.10000000,2.46981781
greedy,18.2500,1081.00000000,42.73692133,4.50000000,2.01384100
greedy,18.5000,1077.50000000,40.51954261,4.30000000,1.88856206
greedy,18.7500,1072.40000000,32.51051112,3.70000000,1.56702124
greedy,19.0000,1079.20000000,22.54279880,5.10000000,2.28278582
greedy,19.2500,1093.80000000,47.89525609,4.30000000,1.94650684
greedy,19.5000,1105.10000000,39.59363024,4.50000000,1.95789002
greedy,19.7500,1088.50000000,31.49691343,4.30000000,2.75075747
greedy,20.0000,1088.60000000,45.00913488,4.40000000,1.26491106
greedy,20.2500,1081.20000000,35.73917863,3.30000000,1.88856206
greedy,20.5000,1081.30000000,43.34115314,4.70000000,1.63639169
greedy,20.7500,1089.50000000,39.34816105,4.40000000,1.71269768
greedy,21.0000,1087.40000000,30.83720696,3.50000000,1.43372088
greedy,21.2500,1082.20000000,33.02793430,4.50000000,1.77951304
greedy,21.5000,1074.30000000,41.36302697,3.40000000,1.50554531
greedy,21.7500,1059.90000000,48.02649732,3.70000000,0.67494856
greedy,22.0000,1056.70000000,40.73777935,4.70000000,1.82878223
greedy,22.2500,1067.50000000,35.16706161,4.70000000,2.05750658
greedy,22.5000,1077.00000000,20.16046737,4.20000000,1.61932771
greedy,22.7500,1088.40000000,38.02981287,4.70000000,2.26323269
greedy,23.0000,1072.20000000,35.93760024,3.90000000,1.44913767
