lambda_E,lambda_ent,best_policy,best_objective,runner_up_gap
1,0.1,preserve_quality,0.63540000,0.02740000
1,0.2,preserve_quality,0.51180000,0.02960000
1,0.3,preserve_quality,0.38920000,0.04320000
1,0.4,preserve_quality,0.28520000,0.05540000
1,0.5,preserve_quality,0.19580000,0.05980000
1,0.6,preserve_quality,0.13400000,0.05600000
1,0.7,preserve_quality,0.08620000,0.04160000
1,0.8,preserve_quality,0.05140000,0.02400000
1,0.9,preserve_quality,0.02080000,0.01100000
2,0.1,preserve_quality,0.65800000,0.01420000
2,0.2,preserve_quality,0.53540000,0.01720000
2,0.3,preserve_quality,0.44120000,0.02000000
2,0.4,preserve_quality,0.29420000,0.08900000
2,0.5,preserve_quality,0.23440000,0.06080000
2,0.6,preserve_quality,0.16760000,0.05380000
2,0.7,preserve_quality,0.11160000,0.05520000
2,0.8,preserve_quality,0.06920000,0.02300000
2,0.9,preserve_quality,0.03640000,0.01000000
5,0.1,preserve_quality,0.65640000,0.01200000
5,0.2,preserve_quality,0.53540000,0.05200000
5,0.3,preserve_quality,0.46320000,0.03200000
5,0.4,preserve_quality,0.35960000,0.04700000
5,0.5,preserve_quality,0.27720000,0.04840000
5,0.6,preserve_quality,0.23280000,0.03140000
5,0.7,preserve_quality,0.16820000,0.01540000
5,0.8,priority_credits,0.12480000,0.00580000
5,0.9,soft_commitment,0.06000000,0.00180000
10,0.1,preserve_quality,0.67660000,0.00260000
10,0.2,preserve_quality,0.58000000,0.01060000
10,0.3,preserve_quality,0.48320000,0.00820000
10,0.4,preserve_quality,0.39780000,0.01600000
10,0.5,preserve_quality,0.33760000,0.01440000
10,0.6,soft_commitment,0.26780000,0.01240000
10,0.7,priority_credits,0.21040000,0.01420000
10,0.8,priority_credits,0.15860000,0.00460000
10,0.9,soft_commitment,0.09920000,0.00200000
20,0.1,priority_credits,0.69800000,0.00100000
20,0.2,preserve_quality,0.58100000,0.02000000
20,0.3,preserve_quality,0.50800000,0.00460000
20,0.4,soft_commitment,0.43500000,0.00580000
20,0.5,preserve_quality,0.37720000,0.00660000
20,0.6,soft_commitment,0.30640000,0.02400000
20,0.7,soft_commitment,0.26020000,0.01020000
20,0.8,soft_commitment,0.21160000,0.00100000
20,0.9,priority_credits,0.17700000,0.00180000
40,0.1,preserve_quality,0.67200000,0.00980000
40,0.2,preserve_quality,0.59580000,0.02100000
40,0.3,preserve_quality,0.50660000,0.01660000
40,0.4,soft_commitment,0.45800000,0.01180000
40,0.5,priority_credits,0.42300000,0.00060000
40,0.6,soft_commitment,0.38160000,0.00300000
40,0.7,priority_credits,0.35100000,0.00640000
40,0.8,priority_credits,0.32580000,0.01760000
40,0.9,soft_commitment,0.30100000,0.00080000
100,0.1,preserve_quality,0.69920000,0.01200000
100,0.2,soft_commitment,0.59580000,0.00720000
100,0.3,priority_credits,0.53480000,0.01280000
100,0.4,priority_credits,0.50040000,0.00320000
100,0.5,priority_credits,0.47760000,0.01160000
100,0.6,priority_credits,0.45360000,0.00200000
100,0.7,soft_commitment,0.44960000,0.02580000
100,0.8,priority_credits,0.46120000,0.01740000
100,0.9,priority_credits,0.49140000,0.00560000
