x_center,y_center,occupancy_share,drift_x_estimate,drift_y_estimate,time_in_bin
0.00521179,0.00393121,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.01179364,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.01965607,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.02751850,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.03538093,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.04324336,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.05110579,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.05896821,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.06683064,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.07469307,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.08255550,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.09041793,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.09828036,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.10614279,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.11400521,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.12186764,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.12973007,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.13759250,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.14545493,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.15331736,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.16117979,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.16904221,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.17690464,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.18476707,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.19262950,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.20049193,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.20835436,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.21621679,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.22407921,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.23194164,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.23980407,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.24766650,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.25552893,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.26339136,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.00521179,0.27125379,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.00393121,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.01179364,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.01965607,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.02751850,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.03538093,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.04324336,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.05110579,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.05896821,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.06683064,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.07469307,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.08255550,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.09041793,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.09828036,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.10614279,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.11400521,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.12186764,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.12973007,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.13759250,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.14545493,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.15331736,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.16117979,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.16904221,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.17690464,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.18476707,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.19262950,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.20049193,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.20835436,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.21621679,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.22407921,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.23194164,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.23980407,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.24766650,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.25552893,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.26339136,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.01563536,0.27125379,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.00393121,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.01179364,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.01965607,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.02751850,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.03538093,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.04324336,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.05110579,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.05896821,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.06683064,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.07469307,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.08255550,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.09041793,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.09828036,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.10614279,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.11400521,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.12186764,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.12973007,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.13759250,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.14545493,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.15331736,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.16117979,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.16904221,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.17690464,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.18476707,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.19262950,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.20049193,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.20835436,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.21621679,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.22407921,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.23194164,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.23980407,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.24766650,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.25552893,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.26339136,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02605893,0.27125379,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.00393121,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.01179364,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.01965607,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.02751850,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.03538093,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.04324336,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.05110579,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.05896821,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.06683064,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.07469307,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.08255550,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.09041793,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.09828036,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.10614279,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.11400521,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.12186764,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.12973007,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.13759250,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.14545493,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.15331736,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.16117979,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.16904221,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.17690464,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.18476707,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.19262950,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.20049193,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.20835436,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.21621679,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.22407921,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.23194164,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.23980407,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.24766650,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.25552893,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.26339136,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.03648250,0.27125379,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.00393121,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.01179364,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.01965607,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.02751850,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.03538093,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.04324336,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.05110579,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.05896821,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.06683064,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.07469307,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.08255550,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.09041793,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.09828036,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.10614279,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.11400521,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.12186764,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.12973007,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.13759250,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.14545493,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.15331736,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.16117979,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.16904221,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.17690464,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.18476707,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.19262950,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.20049193,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.20835436,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.21621679,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.22407921,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.23194164,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.23980407,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.24766650,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.25552893,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.26339136,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04690607,0.27125379,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.00393121,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.01179364,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.01965607,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.02751850,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.03538093,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.04324336,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.05110579,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.05896821,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.06683064,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.07469307,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.08255550,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.09041793,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.09828036,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.10614279,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.11400521,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.12186764,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.12973007,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.13759250,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.14545493,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.15331736,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.16117979,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.16904221,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.17690464,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.18476707,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.19262950,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.20049193,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.20835436,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.21621679,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.22407921,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.23194164,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.23980407,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.24766650,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.25552893,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.26339136,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.05732964,0.27125379,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.00393121,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.01179364,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.01965607,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.02751850,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.03538093,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.04324336,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.05110579,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.05896821,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.06683064,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.07469307,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.08255550,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.09041793,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.09828036,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.10614279,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.11400521,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.12186764,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.12973007,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.13759250,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.14545493,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.15331736,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.16117979,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.16904221,0.0000000000,0.0000000000,0.0000000000,0.0000000000
