m,d1,d2,T,n_runs,lambda_E,easy_entrant_share,policy,total_perish_over_mT_mean,total_perish_over_mT_std,H_perish_over_mT_mean,H_perish_over_mT_std,E_perish_over_mT_mean,E_perish_over_mT_std
10000,10,1000,100,5,2,0.3,TAG,0.42993160,0.00062851,0.42778440,0.00069382,0.00214720,0.00007845
10000,10,1000,100,5,2,0.3,TAP,0.41068120,0.00121235,0.41068080,0.00121188,0.00000040,0.00000055
10000,10,1000,100,5,2,0.4,greedy,0.31420100,0.00064160,0.31294100,0.00064510,0.00126000,0.00002228
10000,10,1000,100,5,2,0.4,patient,0.42564540,0.00087270,0.42564520,0.00087298,0.00000020,0.00000045
10000,10,1000,100,5,2,0.4,TAG,0.29099060,0.00081132,0.28850200,0.00079008,0.00248860,0.00004539
10000,10,1000,100,5,2,0.4,TAP,0.24889300,0.00033648,0.24889260,0.00033696,0.00000040,0.00000055
10000,10,1000,100,5,2,0.5,greedy,0.21752580,0.00065636,0.21587320,0.00064698,0.00165260,0.00002492
10000,10,1000,100,5,2,0.5,patient,0.31782160,0.00029960,0.31782160,0.00029960,0.00000000,0.00000000
10000,10,1000,100,5,2,0.5,TAG,0.19197700,0.00039639,0.18934660,0.00038655,0.00263040,0.00005434
10000,10,1000,100,5,2,0.5,TAP,0.13809500,0.00057414,0.13809480,0.00057393,0.00000020,0.00000045
10000,10,1000,100,5,2,0.6,greedy,0.14698280,0.00030691,0.14506120,0.00031992,0.00192160,0.00002294
10000,10,1000,100,5,2,0.6,patient,0.22380840,0.00052692,0.22380800,0.00052660,0.00000040,0.00000055
10000,10,1000,100,5,2,0.6,TAG,0.12489820,0.00024259,0.12221400,0.00024749,0.00268420,0.00003903
10000,10,1000,100,5,2,0.6,TAP,0.07700560,0.00038711,0.07700520,0.00038717,0.00000040,0.00000055
10000,10,1000,100,5,2,0.7,greedy,0.09579860,0.00022525,0.09357900,0.00022437,0.00221960,0.00007699
10000,10,1000,100,5,2,0.7,patient,0.14467040,0.00032157,0.14467040,0.00032157,0.00000000,0.00000000
10000,10,1000,100,5,2,0.7,TAG,0.07878160,0.00046278,0.07603240,0.00046376,0.00274920,0.00007250
10000,10,1000,100,5,2,0.7,TAP,0.04363700,0.00017652,0.04363680,0.00017631,0.00000020,0.00000045
10000,10,1000,100,5,2,0.8,greedy,0.05674720,0.00030063,0.05429920,0.00028415,0.00244800,0.00002773
10000,10,1000,100,5,2,0.8,patient,0.08217680,0.00024886,0.08217680,0.00024886,0.00000000,0.00000000
10000,10,1000,100,5,2,0.8,TAG,0.04575600,0.00010121,0.04300000,0.00006832,0.00275600,0.00004752
10000,10,1000,100,5,2,0.8,TAP,0.02314420,0.00023164,0.02314400,0.00023158,0.00000020,0.00000045
10000,10,1000,100,5,2,0.9,greedy,0.02651080,0.00016526,0.02393060,0.00016415,0.00258020,0.00003563
10000,10,1000,100,5,2,0.9,patient,0.03398600,0.00024874,0.03398600,0.00024874,0.00000000,0.00000000
10000,10,1000,100,5,2,0.9,TAG,0.02133840,0.00013196,0.01861080,0.00013435,0.00272760,0.00005918
10000,10,1000,100,5,2,0.9,TAP,0.00963500,0.00012797,0.00963500,0.00012797,0.00000000,0.00000000
10000,10,1000,100,5,5,0.1,greedy,0.79430920,0.00098398,0.79388300,0.00097204,0.00042620,0.00002410
10000,10,1000,100,5,5,0.1,patient,0.83398120,0.00056938,0.83397060,0.00057231,0.00001060,0.00000404
10000,10,1000,100,5,5,0.1,TAG,0.79469940,0.00073966,0.79382600,0.00073755,0.00087340,0.00001376
10000,10,1000,100,5,5,0.1,TAP,0.79343520,0.00028147,0.79343000,0.00027920,0.00000520,0.00000259
10000,10,1000,100,5,5,0.2,greedy,0.61057180,0.00067907,0.60948720,0.00068502,0.00108460,0.00001539
10000,10,1000,100,5,5,0.2,patient,0.70564460,0.00131773,0.70564260,0.00131724,0.00000200,0.00000141
10000,10,1000,100,5,5,0.2,TAG,0.60499980,0.00038265,0.60221460,0.00042217,0.00278520,0.00004796
10000,10,1000,100,5,5,0.2,TAP,0.60188380,0.00088713,0.60188320,0.00088715,0.00000060,0.00000055
10000,10,1000,100,5,5,0.3,greedy,0.44597280,0.00079040,0.44394320,0.00080108,0.00202960,0.00003332
10000,10,1000,100,5,5,0.3,patient,0.58893100,0.00077919,0.58892960,0.00077865,0.00000140,0.00000114
