m,d1,d2,T,n_runs,lambda_E,easy_entrant_share,policy,total_perish_over_mT_mean,total_perish_over_mT_std,H_perish_over_mT_mean,H_perish_over_mT_std,E_perish_over_mT_mean,E_perish_over_mT_std
10000,10,1000,100,5,100,0.5,TAG,0.26269200,0.00040676,0.18964500,0.00038208,0.07304700,0.00020421
10000,10,1000,100,5,100,0.5,TAP,0.24406780,0.00041878,0.22655100,0.00042788,0.01751680,0.00011430
10000,10,1000,100,5,100,0.6,greedy,0.21136840,0.00046891,0.13917820,0.00051300,0.07219020,0.00028868
10000,10,1000,100,5,100,0.6,patient,0.26411580,0.00048887,0.24795120,0.00049041,0.01616460,0.00014146
10000,10,1000,100,5,100,0.6,TAG,0.21149780,0.00061190,0.12258680,0.00034198,0.08891100,0.00034902
10000,10,1000,100,5,100,0.6,TAP,0.18054200,0.00051769,0.15803700,0.00053336,0.02250500,0.00021522
10000,10,1000,100,5,100,0.7,greedy,0.17582440,0.00018832,0.08952220,0.00022609,0.08630220,0.00026125
10000,10,1000,100,5,100,0.7,patient,0.19683880,0.00043033,0.17556940,0.00046045,0.02126940,0.00014950
10000,10,1000,100,5,100,0.7,TAG,0.17571480,0.00030512,0.07601060,0.00020688,0.09970420,0.00028434
10000,10,1000,100,5,100,0.7,TAP,0.13269100,0.00033833,0.10550240,0.00030519,0.02718860,0.00013832
10000,10,1000,100,5,100,0.8,greedy,0.15025340,0.00050490,0.05198380,0.00030042,0.09826960,0.00032971
10000,10,1000,100,5,100,0.8,patient,0.13769460,0.00014007,0.11089560,0.00042622,0.02679900,0.00032070
10000,10,1000,100,5,100,0.8,TAG,0.14997380,0.00026160,0.04315480,0.00017201,0.10681900,0.00012327
10000,10,1000,100,5,100,0.8,TAP,0.09511800,0.00026035,0.06378020,0.00021938,0.03133780,0.00008878
10000,10,1000,100,5,100,0.9,greedy,0.13078300,0.00030684,0.02312480,0.00016931,0.10765820,0.00017005
10000,10,1000,100,5,100,0.9,patient,0.08541400,0.00022915,0.05292820,0.00021297,0.03248580,0.00033193
10000,10,1000,100,5,100,0.9,TAG,0.13086880,0.00017012,0.01873220,0.00022029,0.11213660,0.00022170
10000,10,1000,100,5,100,0.9,TAP,0.06466520,0.00021499,0.02923880,0.00013379,0.03542640,0.00014354
